Business Profile Data Field,Feature/Tab,Source,EndPoint,Live API Method - API Endpoint,Live API Method - Code Location,Live API Method - Calculation/Extraction,Database-Only Method - Table/Field,Database-Only Method - Code Location,Database-Only Method - Calculation/Extraction,Data Collection APIs (collect-spine-data.ts),Notes
pageSpeed (Desktop),SEO & PPC Tab,DataForSEO API + Google PageSpeed API,task_post + runPagespeed,POST /v3/on_page/task_post → GET /v3/on_page/pages,server/services/dataforseoService.ts:getOnPageAnalysis(),tasks[0].result[0].items[0].desktop_score - Direct from API. Fallback: Calculated from page_timing (LCP FID CLS TTI),business_profiles.pageSpeed OR rawData.enriched.pageSpeedInsights.performance,server/routes/serp-intelligence.ts:2495-2577,"Priority 1: business_profiles.pageSpeed, Priority 2: pageSpeedInsights.performance, Priority 3: onPageResults.desktop_score, Priority 4: Calculated from page_timing","Phase 2: POST /v3/on_page/task_post → GET /v3/on_page/pages (getOnPageAnalysis), GET https://www.googleapis.com/pagespeedonline/v5/runPagespeed (getPageSpeedInsights)",Performance metric - can use cached data with monthly refresh
mobileScore,SEO & PPC Tab,DataForSEO API + Google PageSpeed API,task_post + runPagespeed,POST /v3/on_page/task_post → GET /v3/on_page/pages,server/services/dataforseoService.ts:getOnPageAnalysis(),tasks[0].result[0].items[0].mobile_score - Direct from API. Fallback: Calculated from mobile_page_timing,business_profiles.mobileScore OR rawData.enriched.pageSpeedInsights.mobile,server/routes/serp-intelligence.ts:2579-2605,"Priority 1: business_profiles.mobileScore, Priority 2: pageSpeedInsights.mobile, Priority 3: onPageResults.mobile_score, Priority 4: Calculated from mobile_page_timing","Phase 2: POST /v3/on_page/task_post → GET /v3/on_page/pages (getOnPageAnalysis), GET https://www.googleapis.com/pagespeedonline/v5/runPagespeed (getPageSpeedInsights)",Performance metric - can use cached data with monthly refresh
accessibilityScore,SEO & PPC Tab,DataForSEO API + Google PageSpeed API,task_post + runPagespeed,POST /v3/on_page/task_post → GET /v3/on_page/pages,server/services/dataforseoService.ts:getOnPageAnalysis(),tasks[0].result[0].items[0].accessibility_score - Direct from API,business_profiles.accessibilityScore OR rawData.enriched.pageSpeedInsights.accessibility,server/routes/serp-intelligence.ts:2529-2537,"Priority 1: business_profiles.accessibilityScore, Priority 2: pageSpeedInsights.accessibility, Priority 3: onPageResults.accessibility_score","Phase 2: POST /v3/on_page/task_post → GET /v3/on_page/pages (getOnPageAnalysis), GET https://www.googleapis.com/pagespeedonline/v5/runPagespeed (getPageSpeedInsights)",Performance metric - can use cached data
domainAuthority,SEO & PPC Tab + Overview Tab,DataForSEO API,live,POST /v3/dataforseo_labs/google/domain_rank/live,server/services/dataforseoService.ts:getDomainAnalysis(),tasks[0].result[0].items[0].metrics.organic.etv - Calculated: min(40 (etv/10000)*40),business_profiles.domainAuthority,server/routes/serp-intelligence.ts:1054,Direct field access. Stored during collection script,"Phase 2: POST /v3/dataforseo_labs/google/domain_rank/live (getDomainAnalysis) - Calculated from ETV: min(40, (etv/10000)*40)",Authority metric - changes slowly - good for caching
backlinks,SEO & PPC Tab + Overview Tab,DataForSEO API,live,POST /v3/backlinks/summary/live,server/services/dataforseoService.ts:getBacklinkAnalysis(),tasks[0].result[0].items[0].backlinks - Direct mapping (requires subscription),business_profiles.backlinks,server/routes/serp-intelligence.ts:1055,Direct field access. Stored from enriched.backlinks,"Phase 2: POST /v3/backlinks/summary/live (getBacklinkAnalysis) - Requires DataForSEO Backlinks subscription",Backlink count - changes slowly - good for caching
monthlyTraffic,SEO & PPC Tab + Overview Tab,DataForSEO API,live,POST /v3/dataforseo_labs/google/bulk_traffic_estimation/live,server/services/dataforseoService.ts:getBulkTrafficEstimation(),tasks[0].result[0].items[0].metrics.organic.etv - Direct mapping,business_profiles.monthlyTraffic,server/routes/serp-intelligence.ts:1056,Direct field access. Stored from enriched.traffic,"Phase 2: POST /v3/dataforseo_labs/google/bulk_traffic_estimation/live (getBulkTrafficEstimation) - Extracts metrics.organic.etv",Traffic estimate - can change monthly - consider refresh
seoScore,SEO & PPC Tab + Overview Tab,Calculated (Multiple APIs),N/A,Calculated from multiple APIs,server/services/dataforseoService.ts:calculateSEOScore(),Weighted combination of domainAuthority backlinks monthlyTraffic pageSpeed mobileScore accessibilityScore (0-100),business_profiles.seoScore,server/routes/serp-intelligence.ts:1057,Direct field access. Calculated and stored during collection script,"Phase 2: Calculated from multiple APIs - Uses domainAuthority (Domain Rank API), backlinks (Backlinks API), monthlyTraffic (Traffic Estimation API), pageSpeed/mobileScore/accessibilityScore (On-Page API + PageSpeed Insights API)",Calculated score - can be recalculated from stored metrics
analytics.googleAnalytics.found,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectAnalyticsInHTML(),Regex patterns: gtag('config' 'G-XXXXX') ga('create' 'UA-XXXXX') gtag.js analytics.js,serp_results.rawData.enriched.analytics.googleAnalytics.found,server/routes/serp-intelligence.ts:2609-2634,"storedAnalytics.googleAnalytics.found === true. Fallback: Check onPageData.technologies array","Phase 2: Direct HTTP GET (axios.get) to website URL + detectAnalyticsInHTML() function - Regex patterns: gtag('config', 'G-XXXXX'), ga('create', 'UA-XXXXX'), gtag.js, analytics.js",Analytics detection - can use cached data refresh on-demand
analytics.googleAnalytics.type,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectAnalyticsInHTML(),Regex pattern matching - Types: GA4 UA gtag,serp_results.rawData.enriched.analytics.googleAnalytics.type,server/routes/serp-intelligence.ts:2622,storedAnalytics.googleAnalytics.type. Fallback: Infer from gaId (G- = GA4),"Phase 2: Direct HTTP GET (axios.get) to website URL + detectAnalyticsInHTML() function - Detects type from regex patterns: GA4 (gtag with G-), UA (ga('create') with UA-), gtag (gtag.js presence)",Analytics type - can use cached data
analytics.googleAnalytics.id,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectAnalyticsInHTML(),Regex extraction: G-([^'"]+) or UA-([^'"]+),serp_results.rawData.enriched.analytics.googleAnalytics.id,server/routes/serp-intelligence.ts:2618-2621,storedAnalytics.googleAnalytics.id. Fallback: Extract from onPageData.technologies,"Phase 2: Direct HTTP GET (axios.get) to website URL + detectAnalyticsInHTML() function - Regex extraction: G-([^'\"])+ for GA4, UA-([^'\"])+ for Universal Analytics",Analytics ID - can use cached data
analytics.facebookPixel.found,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectAnalyticsInHTML(),Regex patterns: fbq('init' 'PIXEL_ID') _fbp fbevents.js,serp_results.rawData.enriched.analytics.facebookPixel.found,server/routes/serp-intelligence.ts:2623-2628,storedAnalytics.facebookPixel.found === true. Fallback: Check onPageData.technologies,"Phase 2: Direct HTTP GET (axios.get) to website URL + detectAnalyticsInHTML() function - Regex patterns: fbq('init', 'PIXEL_ID'), _fbp cookie, fbevents.js presence",Analytics detection - can use cached data
schemas.localBusiness,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectSchemasInHTML(),JSON-LD parsing - Check for @type: LocalBusiness,serp_results.rawData.enriched.schemas.localBusiness,server/routes/serp-intelligence.ts:2637-2644,storedSchemas.localBusiness. Fallback: Check onPageData.schemas array,"Phase 2: Direct HTTP GET (axios.get) to website URL + detectSchemasInHTML() function - Parses JSON-LD scripts, checks for @type: 'LocalBusiness' or 'Organization'",Schema detection - can use cached data refresh when website changes
schemas.faq,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectSchemasInHTML(),JSON-LD parsing - Check for @type: FAQPage,serp_results.rawData.enriched.schemas.faq,server/routes/serp-intelligence.ts:2639,storedSchemas.faq. Fallback: Check onPageData.schemas array,"Phase 2: Direct HTTP GET (axios.get) to website URL + detectSchemasInHTML() function - Parses JSON-LD scripts, checks for @type: 'FAQPage'",Schema detection - can use cached data
schemas.organization,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectSchemasInHTML(),JSON-LD parsing - Check for @type: Organization,serp_results.rawData.enriched.schemas.organization,server/routes/serp-intelligence.ts:2640,storedSchemas.organization. Fallback: Check onPageData.schemas array,"Phase 2: Direct HTTP GET (axios.get) to website URL + detectSchemasInHTML() function - Parses JSON-LD scripts, checks for @type: 'Organization'",Schema detection - can use cached data
schemas.breadcrumbs,SEO & PPC Tab,HTML Analysis,N/A,HTTP GET + HTML Analysis,server/services/dataforseoService.ts:detectSchemasInHTML(),JSON-LD parsing - Check for @type: BreadcrumbList,serp_results.rawData.enriched.schemas.breadcrumbs,server/routes/serp-intelligence.ts:2641,storedSchemas.breadcrumbs. Fallback: Check onPageData.schemas array,"Phase 2: Direct HTTP GET (axios.get) to website URL + detectSchemasInHTML() function - Parses JSON-LD scripts, checks for @type: 'BreadcrumbList'",Schema detection - can use cached data
isPaid / ppcStatus.runningAds,SEO & PPC Tab + Ads Tab,DataForSEO API,advanced,POST /v3/serp/google/ads_advertisers/live/advanced,server/routes/serp-intelligence.ts:486-550 (commented),Match business domain to advertiser domains - isPaid = true if match found,business_profiles.isPaid OR rawData.ads.matched,server/routes/serp-intelligence.ts:2671,"Direct field access. Fallback: rawData.ads.matched or enriched.adsCreatives.length > 0","Phase 2: POST /v3/serp/google/ads_advertisers/live/advanced (getAdsAdvertisers) - Matches business domains to advertiser domains, sets isPaid=true if match found. Runs after all businesses enriched (checkAdsAdvertisers function)",Ads status - changes frequently - consider live API for real-time
ppcStatus.adCount,SEO & PPC Tab + Ads Tab,DataForSEO API,advanced,POST /v3/serp/google/ads_advertisers/live/advanced,server/routes/serp-intelligence.ts:549 (commented),advertiser.approx_ads_count - Direct mapping,serp_results.rawData.enriched.adsCreativesCount,server/routes/serp-intelligence.ts:2673,enriched.adsCreativesCount or enriched.adsCreatives.length. Fallback: rawData.ads.approxAdsCount,"Phase 2: POST /v3/serp/google/ads_advertisers/live/advanced (getAdsAdvertisers) - Extracts advertiser.approx_ads_count. Also: POST /v3/serp/google/ads_search/live/advanced (getAdsForDomain) - Counts adsCreatives array length",Ad count - changes frequently - consider live API
ppcStatus.creativesCount,SEO & PPC Tab + Ads Tab,DataForSEO API,advanced,POST /v3/serp/google/ads_search/live/advanced,server/services/dataforseoService.ts:getAdsForDomain(),tasks[0].result[0].items[] array length,serp_results.rawData.enriched.adsCreatives (array length),server/routes/serp-intelligence.ts:1830-1950,Dynamic search for serpResult with enriched.adsCreatives. Extraction: enriched.adsCreatives.length,"Phase 2: POST /v3/serp/google/ads_search/live/advanced (getAdsForDomain) - Extracts ad creatives array, stores in enriched.adsCreatives, counts length in enriched.adsCreativesCount",Ad creatives - changes frequently - consider live API for latest ads
ads (creatives array),Ads Tab,DataForSEO API,advanced,POST /v3/serp/google/ads_search/live/advanced,server/routes/serp-intelligence.ts:getBusinessAds(),tasks[0].result[0].items[] - Maps to ad objects with title description URL preview image,serp_results.rawData.enriched.adsCreatives,server/routes/serp-intelligence.ts:1830-1950,"Dynamic search for serpResult with enriched ads data. Maps stored creatives to ad objects. Fallback: Search by domain + name + placeId/cid","Phase 2: POST /v3/serp/google/ads_search/live/advanced (getAdsForDomain) - Maps API response to ad objects with creativeId, advertiserId, title, description, url, format, previewImage, firstShown, lastShown, rankGroup, rankAbsolute, platform, verified",Ad creatives - changes frequently - consider live API for latest ads
keywordRankings[],SEO & PPC Tab,DataForSEO API,live,POST /v3/dataforseo_labs/google/ranked_keywords/live,server/services/dataforseoService.ts:getRankedKeywords(),tasks[0].result[0].items[] - Array of keyword ranking objects,keyword_rankings table (related to business_profiles),server/routes/serp-intelligence.ts:1053,prisma.businessProfile.findUnique({ include: { keywordRankings } }) - Up to 100 keywords per business,"Phase 2: POST /v3/dataforseo_labs/google/ranked_keywords/live (getRankedKeywords) - Extracts keyword, rankAbsolute, url, searchVolume, competition, cpc. Stores up to 100 keywords per business in keyword_rankings table",Keyword rankings - snapshot in time - good for caching with periodic refresh
serpPosition,Business Card + SEO & PPC Tab,DataForSEO API,advanced,POST /v3/serp/google/maps/live/advanced,server/routes/serp-intelligence.ts:384-388,tasks[0].result[0].items[].rank_absolute - Direct mapping,serp_results.rankAbsolute,server/routes/serp-intelligence.ts:2656,serpResult.rankAbsolute - Direct field access,"Phase 1: POST /v3/serp/google/maps/live/advanced (getMapsResults), POST /v3/serp/google/local_finder/live/advanced (getLocalPackResults) - Extracts rank_absolute from items[], stores in serp_results.rankAbsolute",SERP position - changes daily - consider live API for current position
googlePlaces (reviews),Reputation Tab,Google Places API,details,GET https://maps.googleapis.com/maps/api/place/details/json,scripts/add-google-places.js,result.rating result.user_ratings_total result.reviews - Direct API response,serp_results.rawData.enriched.googlePlaces,server/routes/serp-intelligence.ts:1064-1067,enriched.googlePlaces - Direct access from serpResult.rawData.enriched,"Phase 2: GET https://maps.googleapis.com/maps/api/place/details/json (getGooglePlacesReviews via add-google-places.js) - Uses placeId or businessName+address, extracts rating, totalRatings, reviews, placeId",Google Places data - can change - consider refresh
safeBrowsing,SEO & PPC Tab,Google Safe Browsing API,threatMatches,POST https://safebrowsing.googleapis.com/v4/threatMatches:find,scripts/add-safe-browsing.js,matches array - Empty array = safe,serp_results.rawData.enriched.safeBrowsing,server/routes/serp-intelligence.ts:2688,enriched.safeBrowsing - Direct access,"Phase 2: POST https://safebrowsing.googleapis.com/v4/threatMatches:find (checkSafeBrowsing via add-safe-browsing.js) - Checks domain for malware/phishing threats, returns isSafe boolean and threat types if unsafe",Safety check - changes rarely - good for caching
schemaValidation,SEO & PPC Tab,Custom Validation,N/A,Custom Validation,scripts/add-schema-validation.js,HTML parsing + JSON-LD validation - Returns valid/invalid with errors array,serp_results.rawData.enriched.schemaValidation,server/routes/serp-intelligence.ts:2689,enriched.schemaValidation - Direct access,"Phase 2: Custom validation (validateSchemas via add-schema-validation.js) - Validates JSON-LD structure, required fields, data types. Uses HTML content fetched from Direct HTTP GET. Returns valid/invalid boolean with errors array",Schema validation - can use cached data refresh when website changes
coreWebVitals,SEO & PPC Tab,Google PageSpeed API,runPagespeed,GET https://www.googleapis.com/pagespeedonline/v5/runPagespeed,scripts/add-pagespeed-insights.js,lighthouseResult.audits - Extract LCP FID CLS TTI FCP from audits,serp_results.rawData.enriched.pageSpeedInsights.coreWebVitals,server/routes/serp-intelligence.ts:2691-2720,"enriched.pageSpeedInsights.coreWebVitals. Fallback: Extract from pageSpeedInsights.rawData.desktop.lighthouseResult.audits","Phase 2: GET https://www.googleapis.com/pagespeedonline/v5/runPagespeed (getPageSpeedInsights via add-pagespeed-insights.js) - Extracts Core Web Vitals from lighthouseResult.audits: LCP (largest_contentful_paint), FID (first_input_delay), CLS (cumulative_layout_shift), TTI (time_to_interactive), FCP (first_contentful_paint), speedIndex",Core Web Vitals - performance metrics - can use cached data with monthly refresh
opportunityScore,Business Card + SEO & PPC Tab,Calculated (Multiple APIs),N/A,Calculated from multiple metrics,server/routes/serp-intelligence.ts:calculateOpportunityScore(),Weighted scoring (0-100) from SERP position schemas analytics speed scores PPC status safe browsing schema validation,business_profiles + serp_results (calculated on-the-fly),server/routes/serp-intelligence.ts:2719-2776,"Same formula as live API but uses stored data. Inputs: serpPosition schemas analytics speedScores ppcStatus safeBrowsing schemaValidation all from database","Phase 2: Calculated on-the-fly during API response (not stored). Uses data from multiple collection APIs: serpPosition (Maps/Local Pack APIs), schemas (HTML Analysis), analytics (HTML Analysis), speedScores (On-Page API + PageSpeed Insights), ppcStatus (Ads Advertisers API + Ads Search API), safeBrowsing (Safe Browsing API), schemaValidation (Custom Validation)",Opportunity score - calculated metric - can be recalculated from stored data
