Data Field,Route Endpoint,Primary Source,Source Type,Source Location,Update Frequency,Caching Strategy,Description
pageSpeed,/api/serp/business/:profileId/seo-ppc,Live API,PageSpeed Insights API,GET pagespeedonline/v5/runPagespeed,On-demand,No cache (live),Desktop page speed score
mobileScore,/api/serp/business/:profileId/seo-ppc,Live API,PageSpeed Insights API,GET pagespeedonline/v5/runPagespeed,On-demand,No cache (live),Mobile page speed score
accessibilityScore,/api/serp/business/:profileId/seo-ppc,Live API,PageSpeed Insights API,GET pagespeedonline/v5/runPagespeed,On-demand,No cache (live),Accessibility score
schemas.localBusiness,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,detectSchemasInHTML(),On-demand,No cache (live),LocalBusiness schema detected
schemas.faq,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,detectSchemasInHTML(),On-demand,No cache (live),FAQ schema detected
schemas.organization,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,detectSchemasInHTML(),On-demand,No cache (live),Organization schema detected
analytics.googleAnalytics.found,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,detectAnalyticsInHTML(),On-demand,No cache (live),Google Analytics detected
analytics.googleAnalytics.type,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,detectAnalyticsInHTML(),On-demand,No cache (live),Google Analytics type (GA4/UA)
analytics.facebookPixel.found,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,detectAnalyticsInHTML(),On-demand,No cache (live),Facebook Pixel detected
ppcStatus.runningAds,/api/serp/business/:profileId/seo-ppc,Live API,Ads Advertisers API,POST /v3/serp/google/ads_advertisers/live/advanced,On-demand,No cache (live),Whether running ads
ppcStatus.adCount,/api/serp/business/:profileId/seo-ppc,Live API,Ads Search API,POST /v3/serp/google/ads_search/live/advanced,On-demand,No cache (live),Number of ad creatives
opportunityScore,/api/serp/business/:profileId/seo-ppc,Calculated,Score Calculation Service,calculateOpportunityScore(),On-demand,No cache (live),Calculated opportunity score (0-100)
recommendations,/api/serp/business/:profileId/seo-ppc,Calculated,Score Calculation Service,generateRecommendations(),On-demand,No cache (live),AI-generated recommendations
ads[],/api/serp/business/:profileId/ads,Live API,Ads Search API,POST /v3/serp/google/ads_search/live/advanced,On-demand,No cache (live),Array of ad creatives
ads[].title,/api/serp/business/:profileId/ads,Live API,Ads Search API,POST /v3/serp/google/ads_search/live/advanced,On-demand,No cache (live),Ad creative title
ads[].description,/api/serp/business/:profileId/ads,Live API,Ads Search API,POST /v3/serp/google/ads_search/live/advanced,On-demand,No cache (live),Ad creative description
ads[].url,/api/serp/business/:profileId/ads,Live API,Ads Search API,POST /v3/serp/google/ads_search/live/advanced,On-demand,No cache (live),Ad creative URL
isRunningAds,/api/serp/business/:profileId/ads,Live API,Ads Search API + Ads Advertisers API,Multiple endpoints,On-demand,No cache (live),Whether business is running ads
reviews[],/api/serp/business/:profileId/reputation,Live API,Google Places API + DataForSEO Reviews API,GET maps/api/place/details + POST /v3/business_data/google/reviews,On-demand,No cache (live),Array of review objects
reviews[].text,/api/serp/business/:profileId/reputation,Live API,Google Places API + DataForSEO Reviews API,Multiple endpoints,On-demand,No cache (live),Review text content
reviews[].rating,/api/serp/business/:profileId/reputation,Live API,Google Places API + DataForSEO Reviews API,Multiple endpoints,On-demand,No cache (live),Review rating (1-5)
reviews[].time,/api/serp/business/:profileId/reputation,Live API,Google Places API + DataForSEO Reviews API,Multiple endpoints,On-demand,No cache (live),Review timestamp
rating,/api/serp/business/:profileId/reputation,Live API,Google Places API + DataForSEO Reviews API,Multiple endpoints,On-demand,No cache (live),Average rating
totalRatings,/api/serp/business/:profileId/reputation,Live API,Google Places API + DataForSEO Reviews API,Multiple endpoints,On-demand,No cache (live),Total number of ratings
responseRate,/api/serp/business/:profileId/reputation,Calculated,DataForSEO Reviews API,Calculate from reviews with owner_response,On-demand,No cache (live),Percentage of reviews with responses
reviewVelocity,/api/serp/business/:profileId/reputation,Calculated,Google Places API + DataForSEO Reviews API,Calculate reviews in last 90 days,On-demand,No cache (live),Number of reviews in last 90 days
serpPosition,/api/serp/business/:profileId/seo-ppc,Database,Database Table,serp_results.rankAbsolute,Static,Persistent,SERP ranking position
keywordRankings[],/api/serp/business/:profileId,Database,Database Table,keyword_rankings,Monthly,Persistent with refresh,Array of keyword rankings
keywordRankings[].keyword,/api/serp/business/:profileId,Database,Database Table,keyword_rankings.keyword,Monthly,Persistent with refresh,Keyword text
keywordRankings[].rankAbsolute,/api/serp/business/:profileId,Database,Database Table,keyword_rankings.rankAbsolute,Monthly,Persistent with refresh,Keyword ranking position
safeBrowsing.isSafe,/api/serp/business/:profileId/seo-ppc,Live API,Safe Browsing API,POST safebrowsing/v4/threatMatches:find,On-demand,No cache (live),Whether site is safe
schemaValidation.valid,/api/serp/business/:profileId/seo-ppc,Live API,HTML Analysis,validateSchemas(),On-demand,No cache (live),Whether schemas are valid
coreWebVitals.lcp,/api/serp/business/:profileId/seo-ppc,Live API,PageSpeed Insights API,GET pagespeedonline/v5/runPagespeed,On-demand,No cache (live),Largest Contentful Paint
coreWebVitals.fid,/api/serp/business/:profileId/seo-ppc,Live API,PageSpeed Insights API,GET pagespeedonline/v5/runPagespeed,On-demand,No cache (live),First Input Delay
coreWebVitals.cls,/api/serp/business/:profileId/seo-ppc,Live API,PageSpeed Insights API,GET pagespeedonline/v5/runPagespeed,On-demand,No cache (live),Cumulative Layout Shift
needsLiveData,/api/serp/business/:profileId,Database,Response Flag,Response metadata,Static,N/A,Array indicating which tabs need live data

