Table Name,Field Name,Database Column,Source Type,API Endpoint,API Response Path,Notes
serp_results,isPaid,is_paid,DataForSEO API,/v3/serp/google/ads_advertisers/live/advanced,N/A,Enriched from Ads Advertisers API (domain match)
serp_results,isFeatured,is_featured,DataForSEO API,/v3/serp/google/organic/live/regular,result.is_featured,Whether result is featured
serp_results,isImage,is_image,DataForSEO API,/v3/serp/google/organic/live/regular,result.is_image,Whether result is an image
serp_results,isVideo,is_video,DataForSEO API,/v3/serp/google/organic/live/regular,result.is_video,Whether result is a video
serp_results,isMalicious,is_malicious,DataForSEO API,/v3/serp/google/organic/live/regular,result.is_malicious,Whether result is flagged as malicious
serp_results,breadcrumb,breadcrumb,DataForSEO API,/v3/serp/google/organic/live/regular,result.breadcrumb,Breadcrumb navigation path
serp_results,cacheUrl,cache_url,DataForSEO API,/v3/serp/google/organic/live/regular,result.cache_url,Cached URL
serp_results,relatedSearchUrl,related_search_url,DataForSEO API,/v3/serp/google/organic/live/regular,result.related_search_url,Related search URL
serp_results,extendedSnippet,extended_snippet,DataForSEO API,/v3/serp/google/organic/live/regular,result.extended_snippet,Extended description snippet
serp_results,highlighted,highlighted,DataForSEO API,/v3/serp/google/organic/live/regular,result.highlighted,Array of highlighted keywords (stored as JSON)
serp_results,links,links,DataForSEO API,/v3/serp/google/organic/live/regular,result.links,Related links (stored as JSON)
serp_results,faq,faq,DataForSEO API,/v3/serp/google/organic/live/regular,result.faq,FAQ data (stored as JSON)
serp_results,images,images,DataForSEO API,/v3/serp/google/organic/live/regular,result.images,Image data (stored as JSON)
serp_results,price,price,DataForSEO API,/v3/serp/google/organic/live/regular,result.price,Price information
serp_results,timestamp,timestamp,DataForSEO API,/v3/serp/google/organic/live/regular,result.timestamp,Result timestamp
serp_results,xpath,xpath,DataForSEO API,/v3/serp/google/organic/live/regular,result.xpath,XPath selector
serp_results,cid,cid,DataForSEO API,/v3/serp/google/maps/live/advanced,result.cid,Google CID (Customer ID) for local businesses
serp_results,placeId,place_id,DataForSEO API,/v3/serp/google/maps/live/advanced,result.place_id,Google Place ID
serp_results,rawData,raw_data,DataForSEO API,/v3/serp/google/maps/live/advanced,result,Complete API response stored as JSON
serp_results,rectangle,rectangle,DataForSEO API,/v3/serp/google/maps/live/advanced,result.rectangle,Position rectangle data (stored as JSON)
serp_results,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
business_profiles,id,id,System Generated,N/A,N/A,CUID generated by Prisma
business_profiles,serpResultId,serp_result_id,System Generated,/api/serp/search-prospects,N/A,From linked serp_results record
business_profiles,placeId,place_id,DataForSEO API,/v3/serp/google/maps/live/advanced,result.place_id,Google Place ID or from GMB Info API
business_profiles,cid,cid,DataForSEO API,/v3/serp/google/maps/live/advanced,result.cid,Google CID or from GMB Info API
business_profiles,name,name,DataForSEO API,/v3/serp/google/maps/live/advanced,result.title or result.name,Business name
business_profiles,domain,domain,DataForSEO API,/v3/serp/google/maps/live/advanced,result.domain,Business domain
business_profiles,websiteUrl,website_url,DataForSEO API,/v3/serp/google/maps/live/advanced,result.url or result.website,Full website URL
business_profiles,category,category,DataForSEO API,/v3/serp/google/maps/live/advanced,result.category,Business category
business_profiles,subcategory,subcategory,DataForSEO API,/v3/business_data/google/my_business_info/live,result.subcategory,Business subcategory
business_profiles,industry,industry,System Calculated,N/A,N/A,Derived from category
business_profiles,location,location,System Generated,N/A,N/A,Concatenated city + state
business_profiles,address,address,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address or result.address_info.address,Street address
business_profiles,city,city,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.city,City
business_profiles,state,state,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.region,State
business_profiles,zipCode,zip_code,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.postal_code,ZIP code
business_profiles,country,country,DataForSEO API,/v3/serp/google/maps/live/advanced,result.address_info.country_code,Country
business_profiles,phone,phone,DataForSEO API,/v3/serp/google/maps/live/advanced,result.phone,Phone number
business_profiles,email,email,DataForSEO API,/v3/business_data/google/my_business_info/live,result.email,Email address
business_profiles,description,description,DataForSEO API,/v3/business_data/google/my_business_info/live,result.description,Business description
business_profiles,rating,rating,DataForSEO API,/v3/business_data/google/reviews/task_post,result.rating.value,Average rating
business_profiles,reviewsCount,reviews_count,DataForSEO API,/v3/business_data/google/reviews/task_post,result.rating.votes_count,Number of reviews
business_profiles,ratingMax,rating_max,DataForSEO API,/v3/business_data/google/reviews/task_post,result.rating.max,Maximum rating (usually 5)
business_profiles,isVerified,is_verified,DataForSEO API,/v3/business_data/google/my_business_info/live,result.is_verified,Google verified status
business_profiles,isPaid,is_paid,DataForSEO API,/v3/serp/google/ads_search/live/advanced,result.items.length > 0,Has active ads
business_profiles,businessHours,business_hours,DataForSEO API,/v3/business_data/google/my_business_info/live,result.business_hours,Business hours (stored as JSON)
business_profiles,socialMedia,social_media,DataForSEO API,/v3/business_data/google/my_business_info/live,result.social_media,Social media links (stored as JSON)
business_profiles,services,services,DataForSEO API,/v3/serp/google/maps/live/advanced,result.additional_categories or result.services,Array of services (stored as JSON)
business_profiles,specialties,specialties,DataForSEO API,/v3/serp/google/maps/live/advanced,result.category_ids,Array of specialties (stored as JSON)
business_profiles,insuranceAccepted,insurance_accepted,DataForSEO API,/v3/business_data/google/my_business_info/live,result.insurance_accepted,Insurance types accepted (stored as JSON)
business_profiles,languages,languages,DataForSEO API,/v3/business_data/google/my_business_info/live,result.languages,Languages spoken (stored as JSON)
business_profiles,certifications,certifications,DataForSEO API,/v3/business_data/google/my_business_info/live,result.certifications,Certifications (stored as JSON)
business_profiles,awards,awards,DataForSEO API,/v3/business_data/google/my_business_info/live,result.awards,Awards received (stored as JSON)
business_profiles,seoScore,seo_score,System Calculated,/api/serp/comprehensive-score,N/A,Calculated from: onPageScore (50%) + traffic (30%) + keywords (20%)
business_profiles,domainAuthority,domain_authority,DataForSEO API,/v3/dataforseo_labs/google/domain_rank_overview/live,result.items[0].rank,Domain authority score
business_profiles,backlinks,backlinks,DataForSEO API,/v3/backlinks/bulk_backlinks/live,result.items.length,Total backlink count
business_profiles,monthlyTraffic,monthly_traffic,DataForSEO API,/v3/dataforseo_labs/google/bulk_traffic_estimation/live,result.items[0].metrics.organic.etv,Estimated monthly traffic
business_profiles,pageSpeed,page_speed,System Calculated,/v3/on_page/instant_pages,result.items[0].page_timing,Calculated from Core Web Vitals (LCP FID CLS TTI)
business_profiles,mobileScore,mobile_score,DataForSEO API,/v3/on_page/task_post,result.items[0].mobile_score,Mobile optimization score
business_profiles,accessibilityScore,accessibility_score,DataForSEO API,/v3/on_page/task_post,result.items[0].accessibility_score,Accessibility score
business_profiles,lastAnalyzed,last_analyzed,System Generated,/api/serp/enrich-business,N/A,Timestamp when profile was last analyzed
business_profiles,isActive,is_active,System Default,N/A,N/A,Default: true
business_profiles,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
business_profiles,updatedAt,updated_at,System Generated,N/A,N/A,Auto-updated timestamp
keyword_rankings,id,id,System Generated,N/A,N/A,CUID generated by Prisma
keyword_rankings,businessProfileId,business_profile_id,System Generated,/api/serp/ranked-keywords,N/A,From linked business_profiles record
keyword_rankings,keyword,keyword,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].keyword,Tracked keyword
keyword_rankings,searchEngine,search_engine,System Default,/api/serp/ranked-keywords,N/A,Default: "google"
keyword_rankings,location,location,User Input,/api/serp/ranked-keywords,N/A,From request
keyword_rankings,device,device,User Input,/api/serp/ranked-keywords,N/A,Default: "desktop"
keyword_rankings,rankGroup,rank_group,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].rank_group,Ranking group number
keyword_rankings,rankAbsolute,rank_absolute,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].rank_absolute,Absolute ranking position
keyword_rankings,page,page,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].page,Page number or default: 1
keyword_rankings,position,position,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].position,Position on page
keyword_rankings,url,url,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].url,Ranking URL
keyword_rankings,title,title,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].title,Page title
keyword_rankings,description,description,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].description,Page description
keyword_rankings,isPaid,is_paid,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].is_paid,Whether ranking is paid
keyword_rankings,searchVolume,search_volume,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].search_volume,Monthly search volume
keyword_rankings,competition,competition,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].competition,Competition level: low medium high
keyword_rankings,cpc,cpc,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].cpc,Cost per click (USD)
keyword_rankings,difficulty,difficulty,DataForSEO API,/v3/dataforseo_labs/google/ranked_keywords/live,result.items[].difficulty,Keyword difficulty score (0-100)
keyword_rankings,trend,trend,System Calculated,N/A,N/A,Calculated from historical data: "rising" "falling" "stable"
keyword_rankings,previousRank,previous_rank,System Calculated,N/A,N/A,From previous keyword_rankings record
keyword_rankings,rankChange,rank_change,System Calculated,N/A,N/A,previousRank - rankAbsolute
keyword_rankings,trackedAt,tracked_at,System Generated,N/A,N/A,Auto-generated timestamp
keyword_rankings,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
competitor_analysis,id,id,System Generated,N/A,N/A,CUID generated by Prisma
competitor_analysis,businessProfileId,business_profile_id,System Generated,/api/serp/domain-analysis,N/A,From business profile being analyzed
competitor_analysis,competitorId,competitor_id,User Input,/api/serp/domain-analysis,N/A,Competitor business profile ID
competitor_analysis,analysisType,analysis_type,User Input,/api/serp/domain-analysis,N/A,"seo" "content" "backlinks" "social" "advertising"
competitor_analysis,metric,metric,System Generated,/api/serp/domain-analysis,N/A,Metric name (e.g. "domain_authority" "backlinks")
competitor_analysis,value,value,DataForSEO API,Various APIs,N/A,Value from competitor's data
competitor_analysis,score,score,System Calculated,/api/serp/domain-analysis,N/A,Calculated score (0-100)
competitor_analysis,comparison,comparison,System Calculated,/api/serp/domain-analysis,N/A,"better" "worse" "equal"
competitor_analysis,insights,insights,System Generated,/api/serp/domain-analysis,N/A,AI-generated insights
competitor_analysis,recommendations,recommendations,System Generated,/api/serp/domain-analysis,N/A,AI-generated recommendations
competitor_analysis,analyzedAt,analyzed_at,System Generated,N/A,N/A,Auto-generated timestamp
competitor_analysis,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
watchlist_items,id,id,System Generated,N/A,N/A,CUID generated by Prisma
watchlist_items,userId,user_id,System Generated,/api/serp/add-to-watchlist,N/A,From authenticated user
watchlist_items,serpJobId,serp_job_id,System Generated,/api/serp/add-to-watchlist,N/A,Optional from serp_jobs
watchlist_items,serpResultId,serp_result_id,System Generated,/api/serp/add-to-watchlist,N/A,Optional from serp_results
watchlist_items,businessProfileId,business_profile_id,System Generated,/api/serp/add-to-watchlist,N/A,Optional from business_profiles
watchlist_items,itemType,item_type,User Input,/api/serp/add-to-watchlist,N/A,"prospect" "competitor" "website"
watchlist_items,name,name,DataForSEO API,/api/serp/add-to-watchlist,business_profiles.name or user input,From business_profiles.name or user input
watchlist_items,domain,domain,DataForSEO API,/api/serp/add-to-watchlist,business_profiles.domain or user input,From business_profiles.domain or user input
watchlist_items,category,category,DataForSEO API,/api/serp/add-to-watchlist,business_profiles.category or user input,From business_profiles.category or user input
watchlist_items,location,location,DataForSEO API,/api/serp/add-to-watchlist,business_profiles.location or user input,From business_profiles.location or user input
watchlist_items,score,score,System Calculated,/api/serp/add-to-watchlist,N/A,Lead score from business_profiles
watchlist_items,rating,rating,DataForSEO API,/api/serp/add-to-watchlist,business_profiles.rating,From business_profiles.rating
watchlist_items,status,status,User Input,/api/serp/add-to-watchlist,N/A,Default: "active"
watchlist_items,priority,priority,User Input,/api/serp/add-to-watchlist,N/A,Default: "medium"
watchlist_items,tags,tags,User Input,/api/serp/add-to-watchlist,N/A,User-defined tags (stored as JSON)
watchlist_items,notes,notes,User Input,/api/serp/add-to-watchlist,N/A,User notes
watchlist_items,highlights,highlights,System Generated,/api/serp/add-to-watchlist,N/A,Key highlights (stored as JSON)
watchlist_items,contactInfo,contact_info,DataForSEO API,/api/serp/add-to-watchlist,business_profiles (phone email address),From business_profiles (stored as JSON)
watchlist_items,metrics,metrics,System Generated,/api/serp/add-to-watchlist,N/A,Performance metrics (stored as JSON)
watchlist_items,lastChecked,last_checked,System Generated,/api/serp/watchlist (GET),N/A,Updated when item is viewed
watchlist_items,addedAt,added_at,System Generated,N/A,N/A,Auto-generated timestamp
watchlist_items,updatedAt,updated_at,System Generated,N/A,N/A,Auto-updated timestamp
prospect_items,id,id,System Generated,N/A,N/A,CUID generated by Prisma
prospect_items,userId,user_id,System Generated,/api/serp/add-to-prospects,N/A,From authenticated user
prospect_items,serpJobId,serp_job_id,System Generated,/api/serp/add-to-prospects,N/A,Optional from serp_jobs
prospect_items,serpResultId,serp_result_id,System Generated,/api/serp/add-to-prospects,N/A,Optional from serp_results
prospect_items,businessProfileId,business_profile_id,System Generated,/api/serp/add-to-prospects,N/A,Optional from business_profiles
prospect_items,name,name,DataForSEO API,/api/serp/add-to-prospects,business_profiles.name or user input,From business_profiles.name or user input
prospect_items,domain,domain,DataForSEO API,/api/serp/add-to-prospects,business_profiles.domain or user input,From business_profiles.domain or user input
prospect_items,category,category,DataForSEO API,/api/serp/add-to-prospects,business_profiles.category or user input,From business_profiles.category or user input
prospect_items,location,location,DataForSEO API,/api/serp/add-to-prospects,business_profiles.location or user input,From business_profiles.location or user input
prospect_items,score,score,System Calculated,/api/serp/add-to-prospects,N/A,Lead score from business_profiles
prospect_items,rating,rating,DataForSEO API,/api/serp/add-to-prospects,business_profiles.rating,From business_profiles.rating
prospect_items,status,status,User Input,/api/serp/add-to-prospects,N/A,Default: "new"
prospect_items,priority,priority,User Input,/api/serp/add-to-prospects,N/A,Default: "medium"
prospect_items,tags,tags,User Input,/api/serp/add-to-prospects,N/A,User-defined tags (stored as JSON)
prospect_items,notes,notes,User Input,/api/serp/add-to-prospects,N/A,User notes
prospect_items,progress,progress,User Input,/api/serp/prospects/:itemId (PUT),N/A,Progress notes
prospect_items,pitchingPoints,pitching_points,System Generated,/api/serp/prospects/:itemId/ai-recommendations,N/A,AI-generated pitching points (stored as JSON)
prospect_items,aiRecommendations,ai_recommendations,System Generated,/api/serp/prospects/:itemId/ai-recommendations,N/A,AI-generated recommendations
prospect_items,emailTemplate,email_template,System Generated,/api/serp/prospects/:itemId/ai-recommendations,N/A,AI-generated email template
prospect_items,contactInfo,contact_info,DataForSEO API,/api/serp/add-to-prospects,business_profiles (phone email address),From business_profiles (stored as JSON)
prospect_items,metrics,metrics,System Generated,/api/serp/add-to-prospects,N/A,Performance metrics (stored as JSON)
prospect_items,lastContacted,last_contacted,User Input,/api/serp/prospects/:itemId (PUT),N/A,Last contact timestamp
prospect_items,nextFollowUp,next_follow_up,User Input,/api/serp/prospects/:itemId (PUT),N/A,Next follow-up timestamp
prospect_items,isActive,is_active,System Default,N/A,N/A,Default: true
prospect_items,createdAt,created_at,System Generated,N/A,N/A,Auto-generated timestamp
prospect_items,updatedAt,updated_at,System Generated,N/A,N/A,Auto-updated timestamp
