Table Name,Field Name,Data Source,API Endpoint,API Response Path,Transformation,Required,Storage Location
serp_results,rawData.enriched.adsCreativesCount,DataForSEO API,POST /v3/serp/google/ads_search/live/advanced,Array length,Count of adsCreatives array,Yes,rawData.enriched.adsCreativesCount
serp_results,rawData.enriched.pageSpeedInsights,Google API,GET https://www.googleapis.com/pagespeedonline/v5/runPagespeed,lighthouseResult,Direct mapping,Yes,rawData.enriched.pageSpeedInsights
serp_results,rawData.enriched.pageSpeedInsights.performance,Google API,PageSpeed Insights API,lighthouseResult.categories.performance.score,0-1 score (multiply by 100),Yes,rawData.enriched.pageSpeedInsights.performance
serp_results,rawData.enriched.pageSpeedInsights.mobile,Google API,PageSpeed Insights API,lighthouseResult.categories.performance.score (mobile),0-1 score (multiply by 100),Yes,rawData.enriched.pageSpeedInsights.mobile
serp_results,rawData.enriched.pageSpeedInsights.accessibility,Google API,PageSpeed Insights API,lighthouseResult.categories.accessibility.score,0-1 score (multiply by 100),Optional,rawData.enriched.pageSpeedInsights.accessibility
serp_results,rawData.enriched.pageSpeedInsights.seo,Google API,PageSpeed Insights API,lighthouseResult.categories.seo.score,0-1 score (multiply by 100),Optional,rawData.enriched.pageSpeedInsights.seo
serp_results,rawData.enriched.pageSpeedInsights.bestPractices,Google API,PageSpeed Insights API,lighthouseResult.categories.best-practices.score,0-1 score (multiply by 100),Optional,rawData.enriched.pageSpeedInsights.bestPractices
serp_results,rawData.enriched.pageSpeedInsights.coreWebVitals,Google API,PageSpeed Insights API,lighthouseResult.audits,Extracted LCP FID CLS TTI FCP,Optional,rawData.enriched.pageSpeedInsights.coreWebVitals
serp_results,rawData.enriched.googlePlaces,Google API,GET https://maps.googleapis.com/maps/api/place/details/json,result,Direct mapping,Optional,rawData.enriched.googlePlaces
serp_results,rawData.enriched.googlePlaces.rating,Google API,Places API,result.rating,Direct mapping,Optional,rawData.enriched.googlePlaces.rating
serp_results,rawData.enriched.googlePlaces.reviewsCount,Google API,Places API,result.user_ratings_total,Direct mapping,Optional,rawData.enriched.googlePlaces.reviewsCount
serp_results,rawData.enriched.safeBrowsing,Google API,POST https://safebrowsing.googleapis.com/v4/threatMatches:find,matches array,Empty array = safe,Optional,rawData.enriched.safeBrowsing
serp_results,rawData.enriched.schemaValidation,Custom Validation,add-schema-validation.js,Validation result,Valid/invalid with errors array,Yes,rawData.enriched.schemaValidation
serp_results,rawData.enriched.schemaValidation.valid,Custom Validation,validateSchemas(),Boolean,true if valid,Yes,rawData.enriched.schemaValidation.valid
serp_results,rawData.enriched.schemaValidation.errors,Custom Validation,validateSchemas(),Array,Array of error objects,Yes,rawData.enriched.schemaValidation.errors
serp_results,rawData.enriched.schemaValidation.schemas,Custom Validation,validateSchemas(),Array,Array of validated schema objects,Yes,rawData.enriched.schemaValidation.schemas
serp_results,rawData.enriched.paidETV,DataForSEO API,POST /v3/dataforseo_labs/google/bulk_traffic_estimation/live,tasks[0].result[0].items[0].metrics.organic.etv,Direct mapping,Optional,rawData.enriched.paidETV
business_profiles,pageSpeed,Google API / On-Page API,PageSpeed Insights or On-Page API,pageSpeedInsights.performance or onPageResults.desktop_score,0-100 score,Optional,business_profiles.pageSpeed
business_profiles,mobileScore,Google API / On-Page API,PageSpeed Insights or On-Page API,pageSpeedInsights.mobile or onPageResults.mobile_score,0-100 score,Optional,business_profiles.mobileScore
business_profiles,accessibilityScore,Google API / On-Page API,PageSpeed Insights or On-Page API,pageSpeedInsights.accessibility or onPageResults.accessibility_score,0-100 score,Optional,business_profiles.accessibilityScore
business_profiles,domainAuthority,DataForSEO API,POST /v3/dataforseo_labs/google/domain_rank/live,domainRank.metrics.organic.etv,Calculated: min(40, (etv/10000)*40),Yes,business_profiles.domainAuthority
business_profiles,backlinks,DataForSEO API,POST /v3/backlinks/summary/live,backlinks.backlinks,Direct mapping,Optional,business_profiles.backlinks
business_profiles,monthlyTraffic,DataForSEO API,POST /v3/dataforseo_labs/google/bulk_traffic_estimation/live,traffic.metrics.organic.etv,Direct mapping,Optional,business_profiles.monthlyTraffic
business_profiles,seoScore,Calculated,Multiple sources,Combined metrics,calculateSEOScore() function,Yes,business_profiles.seoScore
business_profiles,isPaid,DataForSEO API,POST /v3/serp/google/ads_advertisers/live/advanced,ads.matched or adsCreatives.length > 0,Boolean,Yes,business_profiles.isPaid
keyword_rankings,keyword,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[].keyword,Direct mapping,Yes,keyword_rankings.keyword
keyword_rankings,rankAbsolute,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[].rank_absolute,Direct mapping,Yes,keyword_rankings.rankAbsolute
keyword_rankings,url,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[].url,Direct mapping,Optional,keyword_rankings.url
keyword_rankings,searchVolume,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[].search_volume,Direct mapping,Optional,keyword_rankings.searchVolume
keyword_rankings,competition,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[].competition,Direct mapping,Optional,keyword_rankings.competition
keyword_rankings,cpc,DataForSEO API,POST /v3/dataforseo_labs/google/ranked_keywords/live,tasks[0].result[0].items[].cpc,Direct mapping,Optional,keyword_rankings.cpc

